ITEM_ID,PRICE,INTEREST,DESCRIPTION
t84icHxoGYk790HPWUsGvlmq,26,3,yW78hBD5wDFb4Xc1IYs9zdSL
w83m06CKfFZITJPUa7vN7s9z,41,5,bF6wOrFQC18My2frv4GYmrE7
512Xp8Dv0QV50QnxpkDWuuOU,40,4,hffatwe0H0XHtinrzMjUwPHP
WWbwTKKw7tgUHMwBaNROm0Hf,66,4,cns0kKrukZKTqZAtYLLdCQRX
946lx3q8xkYU5ZVaXLpt3Woa,41,5,UjUXp0AXdfMsCbctveK2Sno8
qsU2pnDK7ICMiLd3FyLdCwb0,90,4,wgLYLJMF5hTmqxEWAwnFB66o
d4JIjqAV24SYf5VoxHLhmI7D,71,1,gxIJjaW3gbyKrV9NgSZX8hex
HneNppg0eD3Bnd4my7KTpUJf,23,4,Fg7pWSB77YrBH8OK1wxSx9rR
k7HIYsb6KJtkTwdnlX3n85sG,73,2,hagAda99RGTSUkD2D3ZIEJBa
ocCbvSFeYIcSjhJxkSGpBVOs,13,5,stzjfHEd16itnrXHgL4PCBT9
oUXwsq5D3toj5eFRO8c8hMJu,57,3,S53GrL4lv8whyLzOgLPPneGT
uL9hAfFqFmObhvH1NelTJB3E,56,2,8PEGbuQWNe8glHApv36q1S92
bCBwdFuGwt9CuuiqNThoLBMa,80,2,sRAXIPxaFapiR5Pe7SF961cu
ndN6SM9uMYAiDIaH6ldOEKrs,41,5,IOQtKcRZXqnWzsWsM44jQe9L
X0vHIeiO3MaWOWAmWqmQZuyQ,93,2,w61YaunVo2nVR6qobbt21r9K
fxxJhOc9RbTrCTM0bok0V5Ub,78,5,OWmyi28sADoUIFfxeVqEme76
jnfYgYx9M1Rcl8Z2ysFl8Q7p,92,2,6ao5YLv9RtBL3DraSH3UtEfU
7AkoGinc65LdFNAeIx8TrNgg,35,2,qeLlaWgymKO0mcSo7c9oc3cp
V1ForL1OsMdgzDFYzhWwJUsk,34,1,BJa9lSW4ZcfxmiXiZHVF92om
fPeGUFXZv2Ie5dT8bLAV6TVt,47,3,C4634JScnHCQivB0HwR7XIwx
uI7Mns7XOiLaB74Zinaf6Git,56,4,Gt5OsiCeuzHh0Ws9BE4S2goJ
QRLfATUxJhkAFY5tNKpiOxji,39,4,zNCFvmpBjAS5OeWMLzV9YhMT
oogMtCc8bssyjfb6Zas2lYSE,22,3,CcGFW25OTCyGvBXsUL8fyk2I
XsWalXWfx1lPq4rgmFmAfZ6s,84,1,NSsbWMObKR42ULncolNCpbAO
NTh6mMGd9qUw2oQreAFUsSF4,2,5,K8Q9jeeuJeDg41J9fpm2PTii
xRN3qRGSjSIcBdiiIeHa0i6x,33,4,vzWM6wLOwZxeI2pWLLoiRoJ2
arLe1nZXZOb22VMfqZrxWrJU,14,4,y3FeQ4Awe8HUBfVdEpb58mMg
vyhOldoRj4DFTcaBh6TQI0xk,92,2,pStgm4z8VT3xwKFgHSUYRrR1
YsYRy8mQbzT7f1mmQoqwDGDr,67,5,pIBiaa6MXp8FqQhutFraAjAE
cVCxIf4QR3HpBBCraJuu25JI,12,3,7ipGQqAtjmupMQGsCk0bzYHW
OWfKvgP5iXVCqHcvaJuu6rer,63,4,ivSs2eg5utohAJbAnOnYQZQu
qaJXmh4VzmVaXZRgRFk3z4gW,53,2,9ov1FUx9E8sGpGaX0auI8fGx
96EbdKLj3tocOTV7qiJf9QAU,29,4,2GzVAKYLCDW2Gn5usHwjLZcw
QBGPC3gXOnINicgy8PIN0mnt,72,2,yQ96CQhHsvQHGK0ZDECeyVVY
FXHXSetqtL6RnpBjnr2cua12,60,5,vrfRaan06dE8zV6TsG7f9Yqu
4Il0vzDgeOGCLSue6BUXYdm9,11,2,myYXImQid8lUNebLUmjoBu4n
rB1xQ4eFGx190SEkCjovFDnH,6,5,GveOQLN7ssOlE1WACLCY3Rqm
F7A2IGfMe54ClGOXNWbDbutX,23,3,8M46pnFLSMOAJzyIKlInyePO
qeRw9yELc8OUtqZ4IW3CD6uT,30,1,uXo3V3T2cxXJAECHMN3MgMQW
FmBpWcdaLK0AFNgfTE8YMId0,70,2,pjUBZErMW8GuYZk3vsM7EZ9g
A9zwpAwRGZjYHzximg1zPpOI,44,3,n9dmsByfQYx5dQthpUJvZISu
xJMtKtSOrKZOMoTZDqLy2vGy,17,2,e49I5JTcVEnLQ8mpCuSsnpKc
Qj1Qoa06OCxGgesC3AH2W45r,5,1,RocEOZIJdPTxYgdvMuKSL31Z
VH4KpE9fdNQXfdZ59avO7E8i,8,4,q6DMQdKbdnqB2nWZK5bXC80Q
b3xF90YlaRuGyatDK0NFvcUO,4,3,YBqDfqmw6eusOnaUZHdj0F2F
BMzvJKHjx93mN7Qi3rYsr0dS,70,4,xT3rlA3Xpsqc7EWtM4Q7c2NF
mOm98HDhQeOvk1y22pncg7Ky,36,3,sxNnGNfLz5UUxkC1hmX9S5rv
lPPo0987YoFC2PGF1YV0570Z,28,2,LwsNJpnmiudK0vA197j4jbX0
yLq2OhU3ZTkgxyb3U0KosqZ5,9,2,iVjx9NMAGOLVDSTSlcnxEJDd
LOIoYKJBkHL9ElR8hmlD9n1u,100,1,cQs3Pqs3619AewiIQEFX1cRa
TmNJHda2PmGT4GrTH8KMnQ9G,39,5,d0h1WHoOJvYMix3FEJpmSXqE
LmhWpG9RRY5MclxC2X78g52r,36,3,lNlBc4OMsxS8rFiMbfOKBCiQ
